Aaron Johnson, Right hand Bat, Right arm Offbreak, Batter, Canada,"(https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381700/381780.1.jpg)"
Michael Alexander Jones, Right hand Bat, Right arm Offbreak, Top order Batter, Scotland,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322400/322444.png)"
Brandon Alexander King, Right hand Bat,, Top order Batter, West Indies,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321900/321983.png)"
Maxwell Patrick O'Dowd, Right hand Bat, Right arm Offbreak, Opening Batter, Netherlands,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322500/322583.png)"
Andre Dwayne Russell, Right hand Bat, Right arm Fast, Allrounder, West Indies,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316615.png)"
Tanzid Hasan Tamim, Left hand Bat,, Opening Batter, Bangladesh,"(https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/368000/368062.1.png)"
Balapuwaduge Kusal Gimhan Mendis, Right hand Bat, Legbreak, Wicketkeeper, Sri Lanka,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png)"
Steven Ryan Taylor, Left hand Bat, Right arm Offbreak, Opening Batter, United States of America,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/382800/382833.png)"
Liam Stephen Livingstone, Right hand Bat, Right arm Offbreak, Legbreak, England,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383152.png)"
Kariyawasam Indipalage Charith Asalanka, Left hand Bat, Right arm Offbreak, Right arm Offbreak, Sri Lanka,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348500/348599.png)"
Navneet Singh Dhaliwal, Right hand Bat, Right arm Medium fast, Middle order Batter, Canada,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321280.png)"
Shreyas Movva, Right hand Bat, Wicketkeeper, Wicketkeeper Batter, Canada,"(https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381700/381793.1.jpg)"
Kiplin Doriga, Right hand Bat, Wicketkeeper, Wicketkeeper Batter, Papua New Guinea,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321149.png)"
Scott Andrew Edwards, Right hand Bat, Wicketkeeper, Wicketkeeper Batter, Netherlands,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322500/322592.png)"
Moeen Munir Ali, Left hand Bat, Right arm Offbreak,, England,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383142.png)"
Devon Philip Conway, Left hand Bat, Right arm Medium, Occasional Wicketkeeper, New Zealand,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383148.png)"
Harmeet Singh Baddhan, Left hand Bat, Slow Left arm Orthodox, Bowling Allrounder, United States of America,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/382800/382830.png)"
Sese Bau, Left hand Bat, Right arm Offbreak, Middle order Batter, Papua New Guinea,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321159.png)"
Vikramjit Singh, Left hand Bat, Right arm Medium, Opening Batter, Netherlands,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/368000/368038.png)"
Monank Dilipbhai Patel, Right hand Bat, Wicketkeeper, Wicketkeeper Batter, United States of America,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383210.png)"
Corey James Anderson, Left hand Bat, Left arm Medium fast, Batting Allrounder, United States of America,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383214.png)"
Nikolaas Davin, Right hand Bat, Legbreak, Batter, Namibia,"(https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/382000/382050.1.jpg)"
Aasif Sheikh, Right hand Bat, Wicketkeeper, Wicketkeeper Batter, Nepal,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330462.png)"
Angelo Davis Mathews, Right hand Bat, Right arm Medium, Allrounder, Sri Lanka,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/355600/355644.png)"
Timothy Hays David, Right hand Bat, Right arm Offbreak, Middle order Batter, Australia,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/340300/340305.png)"
Gareth James Delany, Right hand Bat, Legbreak Googly, Batting Allrounder, Ireland,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319872.png)"
Pratik Shrikant Athavale, Right hand Bat, Right arm Offbreak, Wicketkeeper Batter, Oman,"(https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381900/381938.1.jpg)"
Glenn Dominic Phillips, Right hand Bat, Right arm Offbreak, Wicketkeeper, New Zealand,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383167.png)"
Jan Nicolaas Frylinck, Left hand Bat, Left arm Fast medium, Allrounder, Namibia,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348600/348605.png)"
Rashid Khan Arman, Right hand Bat, Legbreak Googly, Bowling Allrounder, Afghanistan,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383228.png)"
Mohammad Nabi, Right hand Bat, Right arm Offbreak, Allrounder, Afghanistan,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383215.png)"
